PROBLEM_KEY,Harmony,Scanorama,scVI,No Integration
ref_0_que_1hr,0.7371 ± 0.0015,0.5845 ± 0.0000,0.6536 ± 0.0383,0.5667 ± 0.0000
ref_0_que_4hr,0.8595 ± 0.0012,0.8340 ± 0.0000,0.7726 ± 0.0166,0.7659 ± 0.0000
ref_0_que_1,0.8684 ± 0.0010,0.8589 ± 0.0000,0.6142 ± 0.0383,0.7154 ± 0.0000
ref_0_que_3,0.7704 ± 0.0025,0.4217 ± 0.0000,0.4772 ± 0.0351,0.6294 ± 0.0000
ref_0_que_7,0.7064 ± 0.0006,0.7109 ± 0.0000,0.6086 ± 0.0157,0.6745 ± 0.0000
ref_0_que_1-7,0.8072 ± 0.0008,0.7397 ± 0.0000,0.5603 ± 0.0613,0.6958 ± 0.0000
