PROBLEM_KEY,seed,accuracy,precision,recall,f1,auc,aupr,outlier_ratio_ref,outlier_ratio_que,time_taken
ref_0_que_1hr,0,0.42246555987283646,0.3957793409848204,0.9972014925373134,0.5666578319639544,0.9032550083578695,0.8494821357050425,0.018462469733656173,0.9540798304486048,15.88188858600006
ref_0_que_1hr,100,0.42246555987283646,0.3957793409848204,0.9972014925373134,0.5666578319639544,0.9032550083578695,0.8494821357050425,0.018462469733656173,0.9540798304486048,15.947507949999817
ref_0_que_1hr,200,0.42246555987283646,0.3957793409848204,0.9972014925373134,0.5666578319639544,0.9032550083578695,0.8494821357050425,0.018462469733656173,0.9540798304486048,17.12747745100023
ref_0_que_4hr,0,0.6223723723723724,0.6206636500754148,1.0,0.7659376454164728,0.9485494393743719,0.9645710721863472,0.021791767554479417,0.9954954954954955,12.391230002000157
ref_0_que_4hr,100,0.6223723723723724,0.6206636500754148,1.0,0.7659376454164728,0.9485494393743719,0.9645710721863472,0.021791767554479417,0.9954954954954955,12.429897448000247
ref_0_que_4hr,200,0.6223723723723724,0.6206636500754148,1.0,0.7659376454164728,0.9485494393743719,0.9645710721863472,0.021791767554479417,0.9954954954954955,11.828027254000062
ref_0_que_1,0,0.5718866916087654,0.5570005534034311,0.9995034756703078,0.7153518123667377,0.9442838211225129,0.9535630042402798,0.020278450363196126,0.965793693212186,18.472343181999804
ref_0_que_1,100,0.5718866916087654,0.5570005534034311,0.9995034756703078,0.7153518123667377,0.9442838211225129,0.9535630042402798,0.020278450363196126,0.965793693212186,17.453059707000193
ref_0_que_1,200,0.5718866916087654,0.5570005534034311,0.9995034756703078,0.7153518123667377,0.9442838211225129,0.9535630042402798,0.020278450363196126,0.965793693212186,18.060412503000407
ref_0_que_3,0,0.5245769540692989,0.459211732355637,1.0,0.6293969849246231,0.915471759184334,0.890008015309143,0.02602905569007264,0.879129734085415,12.018205104000117
ref_0_que_3,100,0.5245769540692989,0.459211732355637,1.0,0.6293969849246231,0.915471759184334,0.890008015309143,0.02602905569007264,0.879129734085415,12.01616312499982
ref_0_que_3,200,0.5245769540692989,0.459211732355637,1.0,0.6293969849246231,0.915471759184334,0.890008015309143,0.02602905569007264,0.879129734085415,11.962564285000099
ref_0_que_7,0,0.5719192786603693,0.5121467526028756,0.9875717017208413,0.6745021221025139,0.7926242419997347,0.7705777533358925,0.024515738498789345,0.8660369257191928,14.46086733400034
ref_0_que_7,100,0.5719192786603693,0.5121467526028756,0.9875717017208413,0.6745021221025139,0.7926242419997347,0.7705777533358925,0.024515738498789345,0.8660369257191928,14.500923181999951
ref_0_que_7,200,0.5719192786603693,0.5121467526028756,0.9875717017208413,0.6745021221025139,0.7926242419997347,0.7705777533358925,0.024515738498789345,0.8660369257191928,14.554194776999793
ref_0_que_1-7,0,0.5866666666666667,0.5351681957186545,0.9943181818181818,0.6958250497017893,0.9108966827431609,0.9052599885622317,0.01694915254237288,0.8833986928104575,37.1259971720001
ref_0_que_1-7,100,0.5866666666666667,0.5351681957186545,0.9943181818181818,0.6958250497017893,0.9108966827431609,0.9052599885622317,0.01694915254237288,0.8833986928104575,37.055216251000274
ref_0_que_1-7,200,0.5866666666666667,0.5351681957186545,0.9943181818181818,0.6958250497017893,0.9108966827431609,0.9052599885622317,0.01694915254237288,0.8833986928104575,37.02793448099965
