PROBLEM_KEY,Harmony,Scanorama,scVI,No Integration
ref_0_que_1hr,0.8426 ± 0.0033,0.6639 ± 0.0000,0.7820 ± 0.0195,0.8495 ± 0.0000
ref_0_que_4hr,0.9591 ± 0.0004,0.9559 ± 0.0000,0.8905 ± 0.0082,0.9646 ± 0.0000
ref_0_que_1,0.9591 ± 0.0002,0.9389 ± 0.0000,0.8923 ± 0.0148,0.9536 ± 0.0000
ref_0_que_3,0.8944 ± 0.0011,0.5727 ± 0.0000,0.7444 ± 0.0261,0.8900 ± 0.0000
ref_0_que_7,0.8239 ± 0.0040,0.6501 ± 0.0000,0.7375 ± 0.0127,0.7706 ± 0.0000
ref_0_que_1-7,0.9024 ± 0.0003,0.8174 ± 0.0000,0.8382 ± 0.0138,0.9053 ± 0.0000
