PROBLEM_KEY,seed,accuracy,precision,recall,f1,auc,aupr,outlier_ratio_ref,outlier_ratio_que,time_taken
ref_0_que_3,0,0.7099113618049959,0.8938547486033519,0.3193612774451098,0.47058823529411764,0.8483843124561687,0.7931297041767369,0.06053268765133172,0.1442385173247381,611.948996869
ref_0_que_3,100,0.7107171635777598,0.7958333333333333,0.3812375249500998,0.5155195681511471,0.7808383233532934,0.708847378549316,0.057203389830508475,0.19339242546333602,610.4948837210004
ref_0_que_3,200,0.6446414182111201,0.65625,0.25149700598802394,0.36363636363636365,0.6312483141824459,0.5737622318509173,0.11561743341404358,0.15471394037066882,581.691666666
ref_0_que_3,300,0.7058823529411765,0.9146341463414634,0.2994011976047904,0.45112781954887216,0.7850083616550683,0.7560247316742816,0.0511501210653753,0.13215149073327961,617.495860467
ref_0_que_3,400,0.684931506849315,0.775,0.3093812375249501,0.442225392296719,0.8270593947240653,0.7177862321889557,0.10865617433414043,0.16116035455278002,630.19842694
ref_0_que_3,500,0.6978243352135375,0.8539325842696629,0.3033932135728543,0.4477172312223859,0.8368587150024276,0.7745792981218697,0.059019370460048425,0.1434327155519742,552.9372405099994
ref_0_que_3,600,0.6422240128928284,0.8904109589041096,0.12974051896207583,0.2264808362369338,0.7915007822193451,0.7282276281468516,0.044794188861985475,0.058823529411764705,698.3171263849999
ref_0_que_3,700,0.661563255439162,0.7237569060773481,0.26147704590818366,0.3841642228739003,0.7485623347898798,0.6582401890522946,0.11259079903147699,0.14585012087026591,540.7223476029994
ref_0_que_3,800,0.6817082997582594,0.8840579710144928,0.2435129740518962,0.38184663536776214,0.8057749366132598,0.7486532489870137,0.05387409200968523,0.11120064464141821,646.7263139880006
ref_0_que_3,900,0.7211925866236906,0.8974358974358975,0.34930139720558884,0.5028735632183908,0.8783702864541187,0.8262929123253325,0.04812348668280872,0.1571313456889605,554.6544291619994
ref_0_que_3,1000,0.726027397260274,0.8926829268292683,0.3652694610778443,0.5184135977337111,0.8861250472028915,0.8313383118594372,0.05296610169491525,0.1651893634165995,576.5700815640012
ref_0_que_3,1100,0.6921837228041902,0.8520710059171598,0.2874251497005988,0.4298507462686567,0.8299697901494308,0.7522826224989116,0.06083535108958838,0.1361804995970991,566.3779446459994
ref_0_que_3,1200,0.709105560032232,0.868421052631579,0.32934131736526945,0.47756874095513746,0.8405351459243675,0.7815466066683346,0.05357142857142857,0.15310233682514102,517.5120329670008
ref_0_que_3,1300,0.709105560032232,0.8846153846153846,0.3213572854291417,0.47144948755490484,0.8529643415870961,0.7997420557649522,0.04993946731234867,0.14665592264302982,538.0491731319999
ref_0_que_3,1400,0.734085414987913,0.8868778280542986,0.3912175648702595,0.5429362880886427,0.872250094405783,0.8233511926539707,0.05690072639225181,0.1780821917808219,570.1131302699996
ref_0_que_3,1500,0.6398066075745367,0.6534090909090909,0.22954091816367264,0.3397341211225997,0.6508820197442952,0.5660303682182617,0.11198547215496368,0.14182111200644643,544.8709676689996
ref_0_que_3,1600,0.7630942788074134,0.8556701030927835,0.49700598802395207,0.6287878787878788,0.8759696822571074,0.8121225839693991,0.05780871670702179,0.23448831587429492,541.0531589469992
ref_0_que_3,1700,0.7203867848509267,0.8181818181818182,0.39520958083832336,0.5329744279946165,0.8367238495981011,0.7467411024473448,0.11168280871670702,0.19500402900886382,547.4796976460002
ref_0_que_3,1800,0.709105560032232,0.71875,0.4590818363273453,0.5602923264311814,0.7884096671521821,0.6806211539580502,0.11228813559322035,0.257856567284448,575.5051169050002
ref_0_que_3,1900,0.7332796132151491,0.8828828828828829,0.3912175648702595,0.5421853388658368,0.8511922101742461,0.7994456265736798,0.039648910411622273,0.1788879935535858,583.1315965459999
ref_0_que_3,2000,0.7316680096696213,0.828125,0.4231536926147705,0.560105680317041,0.8471084857312402,0.7918463237231443,0.08292978208232446,0.2062852538275584,608.1837111409986
ref_0_que_3,2100,0.7808219178082192,0.8377581120943953,0.5668662674650699,0.6761904761904762,0.8750472028915143,0.8119228700927631,0.055387409200968525,0.2731668009669621,662.8401022950002
ref_0_que_3,2200,0.6744560838033844,0.8211920529801324,0.24750499001996007,0.3803680981595092,0.7665021308733884,0.7066761182430965,0.08807506053268765,0.12167606768734891,620.3605009990006
ref_0_que_3,2300,0.6800966962127317,0.782608695652174,0.2874251497005988,0.42043795620437957,0.7860117602632573,0.7141417267735338,0.11924939467312348,0.14826752618855762,680.3645867080013
ref_0_que_3,2400,0.7348912167606769,0.8495934959349594,0.4171656686626746,0.5595716198125836,0.830010249770729,0.7862632856122491,0.05659806295399516,0.1982272360999194,620.1024843470004
ref_0_que_7,0,0.7114641477028768,0.7397435897435898,0.5516252390057361,0.6319824753559693,0.785698850537027,0.727198681158506,0.052360774818401935,0.334907685702018,817.4218289720011
ref_0_que_7,100,0.7114641477028768,0.7331670822942643,0.5621414913957935,0.6363636363636364,0.7924051689321603,0.7423291393288745,0.05417675544794189,0.34435379991412624,864.2318575119971
ref_0_que_7,200,0.6839845427221983,0.6977040816326531,0.5229445506692161,0.5978142076502733,0.7740171890391933,0.7156053929222578,0.05569007263922518,0.3366251610133104,905.7135475989999
ref_0_que_7,300,0.6882782310004294,0.7061855670103093,0.5239005736137667,0.601536772777168,0.7628139115868788,0.7232998595801972,0.048728813559322036,0.33319021039072566,829.0396746480001
ref_0_que_7,400,0.6826964362387291,0.7651122625215889,0.4235181644359465,0.5452307692307692,0.7687042945772709,0.7301216901132302,0.0526634382566586,0.24860455130957493,949.5035970489989
