PROBLEM_KEY,seed,accuracy,precision,recall,f1,auc,aupr,outlier_ratio_ref,outlier_ratio_que,time_taken
ref_0_que_1hr,0,0.7152949487813494,0.7649402390438247,0.3582089552238806,0.48792884371029227,0.768769674934028,0.689160814315789,0.11380145278450363,0.1773225008830802,1153.681744217
ref_0_que_1hr,100,0.7767573295655246,0.8081232492997199,0.5382462686567164,0.6461366181410975,0.8615621791553887,0.7724505113731821,0.06658595641646489,0.2522077004592017,1206.3734832139999
ref_0_que_1hr,200,0.7965383256799717,0.8115577889447236,0.6026119402985075,0.6916488222698073,0.8846693550439956,0.8205816332909311,0.08202179176755447,0.28117273048392794,984.4681233740002
ref_0_que_1hr,300,0.8021900388555281,0.8176178660049628,0.6147388059701493,0.7018104366347178,0.8919230948724258,0.8237023963695546,0.0862590799031477,0.28470505121865064,929.9217088629998
ref_0_que_1hr,400,0.7643942069939951,0.8026905829596412,0.5009328358208955,0.6168868466398622,0.8814089374050724,0.7982386439799513,0.07869249394673124,0.23631225715294948,1010.0543736339996
ref_0_que_1hr,500,0.7756976333451078,0.7812097812097812,0.566231343283582,0.6565711195240671,0.855275746056528,0.7665974123698118,0.08323244552058111,0.2744613210879548,1138.1152349109998
ref_0_que_1hr,600,0.8043094312963617,0.7304270462633452,0.7658582089552238,0.7477231329690346,0.8820516872714315,0.812356958970202,0.08323244552058111,0.39703285058283294,1021.5198300330003
ref_0_que_1hr,700,0.7583892617449665,0.70995670995671,0.6119402985074627,0.657314629258517,0.8430094057851729,0.7404120473623248,0.08444309927360774,0.3263864358883787,1105.7473016480008
ref_0_que_1hr,800,0.7703991522430237,0.8370607028753994,0.48880597014925375,0.6171967020023557,0.8596742340033771,0.7964810353764824,0.07838983050847458,0.22112327799364181,1147.4120970650001
ref_0_que_1hr,900,0.6976333451077358,0.7783505154639175,0.28171641791044777,0.4136986301369863,0.8144765088712209,0.7031505600424502,0.11380145278450363,0.13705404450724126,1053.8125661289996
ref_0_que_1hr,1000,0.7986577181208053,0.7658898305084746,0.6744402985074627,0.7172619047619048,0.8764350504441974,0.7880317593947981,0.06961259079903148,0.3334510773578241,1013.700089027001
ref_0_que_1hr,1100,0.7686329918756624,0.8492462311557789,0.47294776119402987,0.6075494307968844,0.8735405547588945,0.8092993335527323,0.06476997578692494,0.21087954786294597,1023.2898390369992
ref_0_que_1hr,1200,0.7873542917696927,0.7901234567901234,0.5970149253731343,0.6801275239107333,0.8781904151782305,0.7971823070206056,0.07596852300242131,0.28611797951253976,1027.1102078980002
ref_0_que_1hr,1300,0.8389261744966443,0.7805100182149363,0.7994402985074627,0.7898617511520737,0.9068134667764078,0.8444552397486227,0.06053268765133172,0.3878488166725539,955.3621021700001
ref_0_que_1hr,1400,0.7502649240551043,0.7348777348777349,0.5326492537313433,0.6176311519740401,0.8348488158977709,0.7147876906636839,0.0898910411622276,0.2744613210879548,1101.1022977909997
ref_0_que_1hr,1500,0.8159660897209466,0.7479747974797479,0.7751865671641791,0.7613376087952359,0.8909478333177773,0.8112943609852095,0.06658595641646489,0.3924408336276934,1058.3582283899996
ref_0_que_1hr,1600,0.7827622748145532,0.8306801736613604,0.5354477611940298,0.6511627906976745,0.8744304345243651,0.8132212604796275,0.08323244552058111,0.24408336276933945,1160.3975570539988
ref_0_que_1hr,1700,0.7993641822677499,0.8065693430656934,0.6184701492537313,0.7001055966209081,0.8853221810221208,0.8117733672086286,0.07657384987893462,0.290356764394207,1239.8252346339978
ref_0_que_1hr,1800,0.7785234899328859,0.6995515695067265,0.7276119402985075,0.7133058984910837,0.8555891661646288,0.7736011780667635,0.07566585956416465,0.3938537619215825,1317.7117448770005
ref_0_que_1hr,1900,0.7587424938184387,0.8662900188323918,0.4291044776119403,0.5739238927011853,0.8672387423315486,0.7970186665891803,0.07990314769975787,0.18756623101377606,1342.1912417530002
ref_0_que_1hr,2000,0.7728717767573295,0.7033175355450237,0.6921641791044776,0.6976962858486131,0.85023450824332,0.7555595338326846,0.08050847457627118,0.3726598375132462,1324.921644689999
ref_0_que_1hr,2100,0.6997527375485694,0.7361702127659574,0.32276119402985076,0.4487678339818418,0.7753228598338608,0.6648951728103881,0.09654963680387409,0.16601907453196751,1305.3377207739977
ref_0_que_1hr,2200,0.7979512539738608,0.7465483234714004,0.7061567164179104,0.725790987535954,0.8755398674620077,0.7882307206864846,0.062046004842615014,0.3581773225008831,1400.5302989270021
ref_0_que_1hr,2300,0.8039561992228894,0.7881828316610925,0.6595149253731343,0.718131030980193,0.8808563422229388,0.8076693403875198,0.07142857142857142,0.31684916990462736,1240.0824581880006
ref_0_que_1hr,2400,0.8092546803249735,0.8614130434782609,0.5914179104477612,0.7013274336283186,0.9053556125003182,0.8490136902742035,0.07990314769975787,0.25997880607559165,1312.2583962780009
ref_0_que_4hr,0,0.7732732732732732,0.906396255850234,0.7059538274605103,0.7937158469945356,0.8817732814204584,0.8919205570346227,0.043886198547215496,0.48123123123123124,1094.2670784619986
ref_0_que_4hr,100,0.7522522522522522,0.8894154818325435,0.68408262454435,0.7733516483516484,0.8708591644446143,0.8877018449295929,0.06749394673123486,0.4752252252252252,1120.290433178001
ref_0_que_4hr,200,0.7192192192192193,0.8959435626102292,0.6172539489671932,0.7309352517985611,0.8600142752448633,0.8773065787709188,0.04691283292978208,0.42567567567567566,1156.871363983999
ref_0_que_4hr,300,0.7522522522522522,0.8982229402261712,0.675577156743621,0.7711511789181692,0.8705368972110754,0.9000481800105954,0.04509685230024213,0.4647147147147147,1016.6724787179992
