PROBLEM_KEY,Harmony,Scanorama,scVI,No Integration
ref_0_que_1hr,0.7374 ± 0.0021,0.7072 ± 0.0000,0.7770 ± 0.0141,0.4225 ± 0.0000
ref_0_que_4hr,0.7995 ± 0.0020,0.7650 ± 0.0000,0.7542 ± 0.0148,0.6224 ± 0.0000
ref_0_que_1,0.8436 ± 0.0014,0.8469 ± 0.0000,0.6956 ± 0.0221,0.5719 ± 0.0000
ref_0_que_3,0.7644 ± 0.0036,0.6398 ± 0.0000,0.7043 ± 0.0126,0.5246 ± 0.0000
ref_0_que_7,0.6410 ± 0.0011,0.6801 ± 0.0000,0.6992 ± 0.0082,0.5719 ± 0.0000
ref_0_que_1-7,0.8164 ± 0.0006,0.7523 ± 0.0000,0.7006 ± 0.0263,0.5867 ± 0.0000
