PROBLEM_KEY,dist,seed,accuracy,precision,recall,f1,auc,aupr,outlier_ratio_ref,outlier_ratio_que,time_taken
ref_0_que_1hr,mae,300,0.7336630166019075,0.5899321266968326,0.9729477611940298,0.7345070422535211,0.9145858611999695,0.8250448556033712,0.03389830508474576,0.6245143058989756,47.14179167100019
ref_0_que_1hr,mae,400,0.7251854468385729,0.5817575083426029,0.9757462686567164,0.7289198606271777,0.9118764477781642,0.8206259055363699,0.04116222760290557,0.6351112681031438,47.43212459200004
ref_0_que_1hr,braycurtis,0,0.7018721299894031,0.5610278372591007,0.9776119402985075,0.7129251700680272,0.8944140157654027,0.7777167428868964,0.05508474576271186,0.6598375132462028,17.797372085000006
ref_0_que_1hr,braycurtis,100,0.7163546450017662,0.574350469872858,0.9692164179104478,0.7212773342589379,0.8786183847674646,0.7408749459695693,0.04903147699757869,0.6389968209113388,16.60493728700021
ref_0_que_1hr,braycurtis,200,0.7209466619569057,0.5786830357142857,0.9673507462686567,0.7241620111731844,0.8775837271855617,0.7400845629191453,0.04691283292978208,0.6329918756623102,17.491563711000254
ref_0_que_1hr,braycurtis,300,0.7156481808548216,0.5733113673805601,0.9738805970149254,0.7217421361908054,0.8847595097282208,0.7587483195428938,0.04963680387409201,0.643235605793006,16.36953543799973
ref_0_que_1hr,braycurtis,400,0.7195337336630167,0.5769656699889258,0.9720149253731343,0.7241139680333565,0.8807789152588393,0.7531581948542377,0.04963680387409201,0.6379371246909219,16.388746819000062
ref_0_que_1hr,canberra,0,0.7234192864712116,0.5826186392224129,0.9505597014925373,0.7224388514711095,0.8683025676054066,0.76220536831208,0.06265133171912833,0.6178028965030025,19.173990524000146
ref_0_que_1hr,canberra,100,0.7205934298834334,0.5803316180674671,0.9468283582089553,0.7196029776674938,0.867970055917117,0.7646546809573589,0.05750605326876514,0.6178028965030025,18.79397284100014
ref_0_que_1hr,canberra,200,0.730483927940657,0.5914742451154529,0.9319029850746269,0.723650851140891,0.8637142245000129,0.7551373413010105,0.05417675544794189,0.5966089720946662,18.79082327299966
ref_0_que_1hr,canberra,300,0.7177675732956552,0.5772495755517827,0.9514925373134329,0.718562874251497,0.8686965966076384,0.7687792693969661,0.061138014527845036,0.6241610738255033,18.628590270999666
ref_0_que_1hr,canberra,400,0.7237725185446838,0.5832376578645235,0.9477611940298507,0.7221037668798863,0.8681927910193208,0.7608008268997186,0.06234866828087167,0.6153302719886966,18.183881526999812
ref_0_que_1hr,chebyshev,0,0.7439067467326034,0.5997699827487062,0.9729477611940298,0.7420846673781573,0.9227782703876865,0.8616753797833581,0.0299636803874092,0.6142705757682798,15.164531001000341
ref_0_que_1hr,chebyshev,100,0.7442599788060756,0.6001150747986191,0.9729477611940298,0.7423487544483985,0.9221540817798444,0.8608811001465535,0.030569007263922518,0.6139173436948074,15.428537802999926
ref_0_que_1hr,chebyshev,200,0.7318968562345461,0.5882684715172025,0.9729477611940298,0.7332161687170474,0.9204570524297219,0.8591408313682082,0.03177966101694915,0.6262804662663369,15.852910477000023
ref_0_que_1hr,chebyshev,300,0.7336630166019075,0.5900339750849377,0.9720149253731343,0.7343199436222692,0.9214296623760108,0.8598296546980627,0.03177966101694915,0.6238078417520311,15.471870714000033
ref_0_que_1hr,chebyshev,400,0.7414341222182974,0.5977011494252874,0.9701492537313433,0.7396870554765291,0.9186571406752481,0.8526575457734908,0.03177966101694915,0.6146238078417521,15.15343835099975
ref_0_que_1hr,cityblock,0,0.7403744259978806,0.5965616045845272,0.9710820895522388,0.739084132055378,0.9118615987713506,0.819176885547397,0.032990314769975784,0.6163899682091134,14.3751290350001
ref_0_que_1hr,cityblock,100,0.7432002825856587,0.5993091537132987,0.9710820895522388,0.741189035243859,0.9110698285151843,0.8177507972233018,0.03571428571428571,0.6135641116213352,14.56939828600025
ref_0_que_1hr,cityblock,200,0.7276580713528789,0.5845030881527232,0.9710820895522388,0.729758149316509,0.9136625711691683,0.8245905679906793,0.03238498789346247,0.6291063228541152,16.537429803000123
ref_0_que_1hr,cityblock,300,0.7336630166019075,0.5899321266968326,0.9729477611940298,0.7345070422535211,0.9145858611999695,0.8250448556033712,0.03389830508474576,0.6245143058989756,16.629710893000265
ref_0_que_1hr,cityblock,400,0.7251854468385729,0.5817575083426029,0.9757462686567164,0.7289198606271777,0.9118764477781642,0.8206259055363699,0.04116222760290557,0.6351112681031438,14.810126868000225
ref_0_que_1hr,cosine,0,0.6852702225362063,0.5469641930461858,0.9832089552238806,0.7029009669889963,0.8562271431359405,0.7078043739698227,0.04449152542372881,0.6806782055810667,13.68303271800005
ref_0_que_1hr,cosine,100,0.6909219357117626,0.5514898065865134,0.9841417910447762,0.7068676716917923,0.835148447642402,0.6602252721256877,0.04116222760290557,0.6757329565524549,13.782043479000095
ref_0_que_1hr,cosine,200,0.6880960791239844,0.5491931285788652,0.9841417910447762,0.7049782826595389,0.8575587808541149,0.7208938632673321,0.0423728813559322,0.6785588131402331,15.074759351000012
ref_0_que_1hr,cosine,300,0.6856234546096786,0.5471991701244814,0.9841417910447762,0.7033333333333334,0.8489039311684896,0.7008888065278488,0.04418886198547216,0.681031437654539,14.308033073999923
ref_0_que_1hr,cosine,400,0.6842105263157895,0.5461139896373057,0.9832089552238806,0.7021985343104596,0.861082238042307,0.7336608012867807,0.04600484261501211,0.6817379018014835,14.341070095000305
ref_0_que_1hr,euclidean,0,0.7428470505121865,0.5987370838117106,0.9729477611940298,0.7412935323383084,0.9155425614961011,0.8371368612012549,0.03238498789346247,0.6153302719886966,14.98890191999999
ref_0_que_1hr,euclidean,100,0.7421405863652419,0.5981630309988519,0.9720149253731343,0.7405828002842928,0.9148579162176609,0.8370875876754315,0.03268765133171913,0.6153302719886966,15.922236738000265
ref_0_que_1hr,euclidean,200,0.7262451430589898,0.5830072666294019,0.9729477611940298,0.729115693813352,0.9176829397639433,0.8440016725590155,0.0335956416464891,0.6319321794418933,15.884363298000153
ref_0_que_1hr,euclidean,300,0.7322500883080184,0.5886004514672686,0.9729477611940298,0.7334739803094233,0.9190798070477629,0.8469978910757405,0.031174334140435835,0.6259272341928647,15.170483711000088
ref_0_que_1hr,euclidean,400,0.738255033557047,0.5944095835710211,0.9720149253731343,0.7376991150442478,0.9159365904983328,0.8389473736568607,0.03208232445520581,0.6192158247968915,15.942768011000226
