Distance,Group
2.1131840728887408,Ref.-Ref.
1.5564462986749328,Ref.-Ref.
1.7466373765837495,Ref.-Ref.
1.1741668867321347,Ref.-Ref.
1.2151553966501154,Ref.-Ref.
1.3325020974476733,Ref.-Ref.
1.687328640374939,Ref.-Ref.
1.4337032088336579,Ref.-Ref.
1.6312955860706209,Ref.-Ref.
1.6441552133516582,Ref.-Ref.
1.2130957950950614,Ref.-Ref.
1.5101038390662183,Ref.-Ref.
1.3046552439904022,Ref.-Ref.
1.1655805202031988,Ref.-Ref.
1.3355765248498699,Ref.-Ref.
1.7850878673145083,Ref.-Ref.
1.2355554486393368,Ref.-Ref.
0.9728025906373453,Ref.-Ref.
1.362181869312422,Ref.-Ref.
1.4485563014138516,Ref.-Ref.
1.6767224977369237,Ref.-Ref.
1.300611245271967,Ref.-Ref.
1.4924444727726387,Ref.-Ref.
1.4694307165374723,Ref.-Ref.
1.3568535473252294,Ref.-Ref.
1.4353737354259792,Ref.-Ref.
1.6619079727228372,Ref.-Ref.
1.345459667665653,Ref.-Ref.
1.3977761631705898,Ref.-Ref.
1.4694361808329655,Ref.-Ref.
1.1907263804964883,Ref.-Ref.
1.2948296563214634,Ref.-Ref.
1.3875336611407032,Ref.-Ref.
1.140354509634815,Ref.-Ref.
1.842334184813296,Ref.-Ref.
1.115329374728815,Ref.-Ref.
1.5876636339941284,Ref.-Ref.
1.4484942018770302,Ref.-Ref.
1.1704341723868328,Ref.-Ref.
1.3706142239669443,Ref.-Ref.
1.5314925778186317,Ref.-Ref.
1.6288179030469092,Ref.-Ref.
1.2261271800397389,Ref.-Ref.
1.5230844500608414,Ref.-Ref.
1.2585848282040852,Ref.-Ref.
1.2061863272899114,Ref.-Ref.
1.4728405516215224,Ref.-Ref.
1.8276128827843257,Ref.-Ref.
1.3459905115888586,Ref.-Ref.
1.3044986732109876,Ref.-Ref.
1.8396838858696043,Ref.-Ref.
1.3363580307218739,Ref.-Ref.
1.2842903502423988,Ref.-Ref.
1.651148238139612,Ref.-Ref.
1.1827958798376692,Ref.-Ref.
1.3527042103558482,Ref.-Ref.
1.2558612724607705,Ref.-Ref.
1.3243337232874637,Ref.-Ref.
1.4518979101490148,Ref.-Ref.
1.6376605520488137,Ref.-Ref.
1.653424903267158,Ref.-Ref.
1.243328967504456,Ref.-Ref.
1.4161164079127042,Ref.-Ref.
1.2245614133740477,Ref.-Ref.
1.3671150773762832,Ref.-Ref.
1.1928542178769896,Ref.-Ref.
1.3681476046873582,Ref.-Ref.
1.173994959124226,Ref.-Ref.
1.1093596610836076,Ref.-Ref.
1.1714948424397564,Ref.-Ref.
2.0515911970504916,Ref.-Ref.
1.937800656134997,Ref.-Ref.
1.229186248880035,Ref.-Ref.
1.2068765324203994,Ref.-Ref.
1.4801366044029358,Ref.-Ref.
1.2795454228695902,Ref.-Ref.
1.8012740742685869,Ref.-Ref.
1.146152045730201,Ref.-Ref.
1.690515494700906,Ref.-Ref.
1.2620828460519147,Ref.-Ref.
1.870792018433249,Ref.-Ref.
1.308991094317468,Ref.-Ref.
1.2915155471051902,Ref.-Ref.
1.422553880344834,Ref.-Ref.
1.7902998125316374,Ref.-Ref.
1.1944786512232388,Ref.-Ref.
1.1746137472000906,Ref.-Ref.
1.009470174493776,Ref.-Ref.
1.6916039218000167,Ref.-Ref.
1.5542968578878968,Ref.-Ref.
1.7395401731628448,Ref.-Ref.
1.4931484755376367,Ref.-Ref.
1.4079227154164562,Ref.-Ref.
1.4965896740261064,Ref.-Ref.
1.470976127479147,Ref.-Ref.
1.6981559580938246,Ref.-Ref.
3.9272159515417795,Ref.-Ref.
1.6549008384792363,Ref.-Ref.
1.8733277087753468,Ref.-Ref.
1.8097603180780613,Ref.-Ref.
1.5327571697846867,Ref.-Ref.
1.1622071627614499,Ref.-Ref.
1.7775612783032988,Ref.-Ref.
1.163046785729926,Ref.-Ref.
1.7525052642496113,Ref.-Ref.
1.6871676255968657,Ref.-Ref.
1.3616951638350772,Ref.-Ref.
