Distance,Group
1.7070025911387388,Ref.-Ref.
1.365393275862909,Ref.-Ref.
1.5845957906010952,Ref.-Ref.
1.7816765533337107,Ref.-Ref.
1.4797932589166785,Ref.-Ref.
1.390510858548317,Ref.-Ref.
1.3884024002385482,Ref.-Ref.
1.5989255834098497,Ref.-Ref.
1.246153577770456,Ref.-Ref.
1.3701886148748195,Ref.-Ref.
1.6736334002950828,Ref.-Ref.
2.093758545566467,Ref.-Ref.
1.1935266168989696,Ref.-Ref.
1.933277524538125,Ref.-Ref.
1.7888154965899459,Ref.-Ref.
1.7217815637755445,Ref.-Ref.
1.2459440076791455,Ref.-Ref.
1.2342126203714021,Ref.-Ref.
1.384098086512221,Ref.-Ref.
1.182343100741651,Ref.-Ref.
1.1783433174664182,Ref.-Ref.
1.536098249338401,Ref.-Ref.
1.1877664136638009,Ref.-Ref.
1.7030476865009834,Ref.-Ref.
1.6967496192901685,Ref.-Ref.
1.4608530146783245,Ref.-Ref.
1.1203864116135265,Ref.-Ref.
1.464105122627732,Ref.-Ref.
1.3105561601291136,Ref.-Ref.
1.772468115924851,Ref.-Ref.
1.8909455820600847,Ref.-Ref.
1.6095041686602636,Ref.-Ref.
1.57375046565376,Ref.-Ref.
1.3468790511244373,Ref.-Ref.
1.260393097091357,Ref.-Ref.
1.5600223098542412,Ref.-Ref.
1.1975456894181256,Ref.-Ref.
1.3148797837361996,Ref.-Ref.
1.3401196160834172,Ref.-Ref.
1.4676934656678977,Ref.-Ref.
1.1743152407923054,Ref.-Ref.
1.7217874026202782,Ref.-Ref.
1.3141230121504177,Ref.-Ref.
1.492924057171205,Ref.-Ref.
1.4306201478470428,Ref.-Ref.
1.4754564053547317,Ref.-Ref.
1.6852952370671073,Ref.-Ref.
1.326607071969869,Ref.-Ref.
1.4017971885787124,Ref.-Ref.
1.310634009768023,Ref.-Ref.
1.3410890485532063,Ref.-Ref.
1.5378880280004654,Ref.-Ref.
1.067823416564506,Ref.-Ref.
1.6430575232909106,Ref.-Ref.
1.2542356943239499,Ref.-Ref.
1.6199910684792935,Ref.-Ref.
1.264520406810256,Ref.-Ref.
1.48837585846856,Ref.-Ref.
1.8808458259579017,Ref.-Ref.
1.7455706046906136,Ref.-Ref.
1.424435043979724,Ref.-Ref.
1.6765345916389045,Ref.-Ref.
1.780891501456652,Ref.-Ref.
1.563627374543538,Ref.-Ref.
1.257156069617246,Ref.-Ref.
1.5041858806487696,Ref.-Ref.
1.6682680510581194,Ref.-Ref.
1.4636241923411415,Ref.-Ref.
1.3602128634383395,Ref.-Ref.
1.918069838955827,Ref.-Ref.
1.9979855607305124,Ref.-Ref.
1.4632867526099238,Ref.-Ref.
1.1316661117573361,Ref.-Ref.
1.640969941476606,Ref.-Ref.
1.1645135896773935,Ref.-Ref.
1.751304608762891,Ref.-Ref.
1.2841056917874007,Ref.-Ref.
1.6564178470731874,Ref.-Ref.
1.4183462984730362,Ref.-Ref.
1.489891397030327,Ref.-Ref.
1.3655876330528325,Ref.-Ref.
1.3292932488822686,Ref.-Ref.
1.5992550796067313,Ref.-Ref.
1.6192503027130705,Ref.-Ref.
1.195185497729113,Ref.-Ref.
1.6566848049466336,Ref.-Ref.
1.34853436880572,Ref.-Ref.
1.626205195523095,Ref.-Ref.
1.798670865022251,Ref.-Ref.
1.5082886670841686,Ref.-Ref.
1.4832879782689903,Ref.-Ref.
1.4626135990769316,Ref.-Ref.
1.529038718384669,Ref.-Ref.
1.7254909028295926,Ref.-Ref.
1.428359901854722,Ref.-Ref.
1.6607917895269995,Ref.-Ref.
1.1602095609029137,Ref.-Ref.
1.4043799656546283,Ref.-Ref.
1.5432688632466511,Ref.-Ref.
1.8062267126157592,Ref.-Ref.
1.4721830550240316,Ref.-Ref.
1.9278933512434817,Ref.-Ref.
