Score,Group
0.1590619416727761,Healthy
0.16213663226344743,Healthy
0.13185276979201646,Healthy
0.12309000602151306,Healthy
0.09950554404699802,Healthy
0.16662826963984037,Healthy
0.14844983032198342,Healthy
0.2524593230030745,Healthy
0.13796475907890865,Healthy
0.14122456242101222,Healthy
0.11950055287477675,Healthy
0.2011743799746587,Healthy
0.19631363905203006,Healthy
0.5706929851539982,Healthy
0.1872544852396292,Healthy
0.15877119148922578,Healthy
0.14550959520106355,Healthy
0.14684524865574483,Healthy
0.14628680600584834,Healthy
0.2664364159003351,Healthy
0.14766258517081915,Healthy
0.16127087895180298,Healthy
0.20487888999600812,Healthy
0.1586310755246135,Healthy
0.44803757223422536,Healthy
0.11857028901895193,Healthy
0.11975486255574302,Healthy
0.11097647129839523,Healthy
0.1563166562734048,Healthy
0.11290301421171267,Healthy
0.10374737457761868,Healthy
0.1356837536917915,Healthy
0.16324012663461107,Healthy
0.13424598696423065,Healthy
0.15331102564213847,Healthy
0.14904807069553308,Healthy
0.2546325356059716,Healthy
0.1531028605693688,Healthy
0.11257616249484441,Healthy
0.1141419458395765,Healthy
0.13545677740269266,Healthy
0.2167159652907633,Healthy
0.12485509277758217,Healthy
0.1034297785501167,Healthy
0.11233497062092866,Healthy
0.15614265791364432,Healthy
0.12107050994224797,Healthy
0.33796802125897396,Healthy
0.376408287397944,Healthy
0.1395781569837184,Healthy
0.12264346959115324,Healthy
0.11617610878883274,Healthy
0.1521058432664269,Healthy
0.11892068930717226,Healthy
0.1366202980178486,Healthy
0.11989025040851237,Healthy
0.13664228645856227,Healthy
0.11575213880063445,Healthy
0.12758282657092826,Healthy
0.12038051888385175,Healthy
0.19225664768970901,Healthy
0.12973744435236942,Healthy
0.15617523327345462,Healthy
0.14125075726105116,Healthy
0.10551418603383839,Healthy
0.13001844591052994,Healthy
0.16686687581266577,Healthy
0.1243159782018932,Healthy
0.12643792301606882,Healthy
0.11810795400587924,Healthy
0.13863431161909517,Healthy
0.1367692378353363,Healthy
0.16611832750160532,Healthy
0.17947191309031946,Healthy
0.10671233922384865,Healthy
0.17711665937254842,Healthy
0.1310508888771454,Healthy
0.2454497920373679,Healthy
0.4238857373441934,Healthy
0.16100421373922594,Healthy
0.21138886264294887,Healthy
0.13605126001583237,Healthy
0.14237586638475863,Healthy
0.13123507772797519,Healthy
0.1671831036477345,Healthy
0.15916730395038936,Healthy
0.21626048777673518,Healthy
0.1590127705873877,Healthy
0.19058443054207277,Healthy
0.14443553700119277,Healthy
0.09784517801250633,Healthy
0.14112304185307692,Healthy
0.14080827257025647,Healthy
0.47320412307347204,Healthy
