Score,Group
1.7341654643236457,Healthy
1.4722839166633455,Healthy
1.815350264684946,Healthy
2.568587040631066,Healthy
1.797358969733327,Healthy
1.6359568438430694,Healthy
1.572199180816309,Healthy
1.9985932447101264,Healthy
1.788730558420121,Healthy
3.94553621749313,Healthy
2.2189515769813672,Healthy
1.4621252119958792,Healthy
2.017119368048948,Healthy
1.4992198193215789,Healthy
1.358253089455568,Healthy
2.833156916711529,Healthy
2.2568772241610313,Healthy
1.676735655016348,Healthy
1.5686541029218035,Healthy
2.4773227783788196,Healthy
1.7145302207051654,Healthy
1.8963945731717007,Healthy
2.098582752996343,Healthy
2.001579235844676,Healthy
1.69818912322109,Healthy
1.7075002405006325,Healthy
1.5323196779869968,Healthy
1.894301977175097,Healthy
2.026611658051715,Healthy
1.8940507055745464,Healthy
2.121815362577567,Healthy
2.2776176843960623,Healthy
1.9625329979220907,Healthy
2.3987523673005517,Healthy
2.2066280116366688,Healthy
1.6261374794376102,Healthy
1.7718244351985626,Healthy
1.896505516011348,Healthy
2.4612351214605996,Healthy
2.4498167413070053,Healthy
2.0924287421452035,Healthy
2.5150990639511814,Healthy
1.7996670544161784,Healthy
2.513091602825481,Healthy
1.8607709483757222,Healthy
1.7830278417288283,Healthy
2.438832618870482,Healthy
1.6363015796452274,Healthy
1.9558013811295505,Healthy
2.3970283263890533,Healthy
2.0472938757282617,Healthy
1.771907772073878,Healthy
1.646275002083184,Healthy
2.2112213115195964,Healthy
1.5796725209965212,Healthy
1.4900475483234006,Healthy
1.4623281342134182,Healthy
1.6659191690504886,Healthy
2.4115563149443346,Healthy
2.298554296249233,Healthy
2.081696190320857,Healthy
1.667123169495759,Healthy
1.8767089475794612,Healthy
1.6943009310413053,Healthy
1.7443813115482647,Healthy
2.093543424994934,Healthy
1.5836559194774893,Healthy
2.18868478677764,Healthy
1.7572691650550716,Healthy
2.279207316437556,Healthy
2.289453937252109,Healthy
2.5014509021606894,Healthy
1.6473188963666223,Healthy
1.7979225071527714,Healthy
1.9019842863870737,Healthy
3.0631727961939874,Healthy
1.5065134745705073,Healthy
1.5758527312655581,Healthy
1.6986933131012394,Healthy
1.872982581955455,Healthy
1.475950602429922,Healthy
1.5953093473088669,Healthy
1.8772681855582682,Healthy
1.7895173715345396,Healthy
1.5598540384046047,Healthy
2.5209376758547664,Healthy
1.759922859635645,Healthy
1.7224172728908531,Healthy
1.9415702262194556,Healthy
2.4140387383191575,Healthy
1.7639978840703678,Healthy
2.3909767573727936,Healthy
1.617506115389962,Healthy
2.661836765577358,Healthy
1.3007820048704601,Healthy
1.7536697373477448,Healthy
2.098006146108597,Healthy
1.7780292436444352,Healthy
2.14683532509022,Healthy
1.9276037497989904,Healthy
1.8967059268644526,Healthy
1.6334913051908417,Healthy
1.912509891213761,Healthy
1.767425646040216,Healthy
1.637240645624069,Healthy
1.7600849530436407,Healthy
1.9954469137565936,Healthy
1.6988980678131305,Healthy
1.7948030250165374,Healthy
1.5285831535109338,Healthy
2.12527026332239,Healthy
1.771151447117362,Healthy
1.50126788849745,Healthy
1.9149272191713629,Healthy
1.8378479214246182,Healthy
1.4804882894210638,Healthy
2.4474437280853545,Healthy
1.8052407052337107,Healthy
1.498339746981424,Healthy
2.2618654083033327,Healthy
1.4333447401588324,Healthy
1.568456282072945,Healthy
1.4583263569483558,Healthy
1.8140982268530075,Healthy
3.2091675415106624,Healthy
2.0131315629173896,Healthy
1.822018924942067,Healthy
1.9657906250165573,Healthy
1.9066560862410218,Healthy
1.983446872680105,Healthy
2.1049485687331755,Healthy
1.983861955873337,Healthy
1.7362080079011362,Healthy
2.230085238391501,Healthy
1.6538374598384544,Healthy
1.454463703803141,Healthy
1.414568335151592,Healthy
1.6391708329088275,Healthy
1.9888818525941296,Healthy
1.7148374839418599,Healthy
1.524555070968443,Healthy
2.0420335085394408,Healthy
1.8891552540438088,Healthy
1.5022294485991787,Healthy
1.444209568928401,Healthy
2.115707128981394,Healthy
2.2116834909725687,Healthy
1.9530261455279436,Healthy
2.1503942264948295,Healthy
1.7800351583604053,Healthy
2.3631567510830727,Healthy
2.1437264659040816,Healthy
1.5224913771640716,Healthy
1.5300146717022847,Healthy
4.244196405712544,Healthy
2.1058719816862235,Healthy
2.1798441629501712,Healthy
1.8444132232575094,Healthy
1.5379299493194598,Healthy
2.0551734983382453,Healthy
2.6550344530884655,Healthy
1.591183063225165,Healthy
1.9699899757804422,Healthy
2.2356404629790467,Healthy
1.6143071215729563,Healthy
1.5440656995794395,Healthy
2.510621300051867,Healthy
1.6406350346913798,Healthy
2.1497216065468674,Healthy
2.355856196844703,Healthy
2.0520655244689237,Healthy
1.550864718807061,Healthy
1.5922345202095507,Healthy
1.6433885943121558,Healthy
2.2775151220555463,Healthy
1.7527399714805052,Healthy
1.9047966117987025,Healthy
2.2165037226643336,Healthy
1.9569988229627546,Healthy
2.069916589419803,Healthy
1.8785802663510547,Healthy
1.7057979775984948,Healthy
2.1207864741255045,Healthy
1.7964132837601858,Healthy
2.1408658199462236,Healthy
1.6907517234597613,Healthy
1.4997600454468356,Healthy
1.9019502100030543,Healthy
2.4902391921489793,Healthy
2.0734079846191142,Healthy
1.7252861888125022,Healthy
1.7825848365424037,Healthy
1.9406517280829567,Healthy
2.397030918760158,Healthy
1.7091193070724688,Healthy
1.7840115516765138,Healthy
1.6829995218850238,Healthy
1.6625622599893082,Healthy
1.6852393611949221,Healthy
1.4192215353275641,Healthy
1.7473229361730895,Healthy
1.3952186193598024,Healthy
1.9733189467995815,Healthy
1.9412306392879324,Healthy
2.1831015268193545,Healthy
1.5289252808988305,Healthy
2.2271765725927954,Healthy
1.8776639352617446,Healthy
1.5752894997790632,Healthy
1.6672650124069284,Healthy
1.874039223023701,Healthy
2.1929458242624484,Healthy
1.953019281305913,Healthy
2.0233662453948225,Healthy
1.5459249297036781,Healthy
2.3060139469591157,Healthy
1.884778181282795,Healthy
1.6946863458790267,Healthy
2.35313811938075,Healthy
1.2796932208858807,Healthy
1.636840286654733,Healthy
2.107094067760415,Healthy
1.4597155927784815,Healthy
1.300614638373668,Healthy
1.9207629092277256,Healthy
1.7449930381975405,Healthy
2.0978668741768556,Healthy
2.219820782677612,Healthy
1.772695292093405,Healthy
2.0372758200297696,Healthy
1.876489346638289,Healthy
2.0318357154043127,Healthy
1.6730581009240482,Healthy
2.548467400510273,Healthy
2.131344320560902,Healthy
1.977987403322457,Healthy
1.7407594083023423,Healthy
1.9979142169973967,Healthy
1.6920037493313078,Healthy
1.9842029092816957,Healthy
1.5894467045576262,Healthy
1.622357239466103,Healthy
1.716412353088116,Healthy
1.974696117997832,Healthy
1.9149334074123026,Healthy
2.073001342695884,Healthy
1.8780921929896917,Healthy
2.077072056342096,Healthy
1.3798218397527025,Healthy
2.0567336657521493,Healthy
1.781061513652055,Healthy
1.4597155927784815,Healthy
2.222512045957721,Healthy
2.1665666546299316,Healthy
1.8104659171796111,Healthy
2.248690267210472,Healthy
1.5021268446283873,Healthy
1.9395233021848266,Healthy
2.240776306370192,Healthy
1.5487907096984,Healthy
1.7103403305865403,Healthy
2.0248837418699224,Healthy
1.814300556030923,Healthy
1.6107066441913265,Healthy
1.7720909629857562,Healthy
2.2518530192674757,Healthy
1.982337955075795,Healthy
2.0658286629853886,Healthy
1.3178401026931998,Healthy
1.9396249345300443,Healthy
2.2356281962373536,Healthy
2.426632213219691,Healthy
1.9263758902179053,Healthy
1.5838365879786416,Healthy
1.770110285322359,Healthy
1.9143940432446478,Healthy
2.1237876606490578,Healthy
1.6392029661937493,Healthy
1.7313489497583014,Healthy
1.4782477954707536,Healthy
1.8481183888395438,Healthy
2.5553264349642966,Healthy
2.2154967326355814,Healthy
1.7020518900807116,Healthy
1.9798626340490286,Healthy
1.7625956106208607,Healthy
1.7223807040529657,Healthy
1.8366278154833438,Healthy
2.009745670127577,Healthy
1.6896642010485934,Healthy
2.3298574139524644,Healthy
1.897552258191579,Healthy
1.9679050749643325,Healthy
1.8641664030443017,Healthy
1.7171808601613234,Healthy
2.3190474029440393,Healthy
1.8230793717172191,Healthy
2.3853408441759476,Healthy
1.5688908980911807,Healthy
2.166241046204634,Healthy
2.200198507953514,Healthy
2.004156940720107,Healthy
1.5047829747369565,Healthy
2.4214423373224285,Healthy
1.8976854429737444,Healthy
