Score,Group
1.6712238105606125,Healthy
1.4045422741980802,Healthy
2.3983592211030467,Healthy
1.9893079021916504,Healthy
1.7470823697051372,Healthy
1.624552027037609,Healthy
1.2354568355189075,Healthy
2.0357216920589654,Healthy
1.3525049121551056,Healthy
1.2857542927501961,Healthy
1.4096390410228614,Healthy
1.123583161668823,Healthy
1.5730766448106412,Healthy
1.6690856473646158,Healthy
1.4862155541030655,Healthy
1.3780947606787193,Healthy
1.420355098889431,Healthy
1.525854965516437,Healthy
1.567845273668755,Healthy
1.4396119397275537,Healthy
1.4283323138806034,Healthy
1.46355753900639,Healthy
1.4255155487162992,Healthy
1.6057175975034885,Healthy
1.4882357699628685,Healthy
1.4054714776939177,Healthy
1.8135072951892608,Healthy
1.4470562898029042,Healthy
1.7165739244077678,Healthy
1.1971866260269084,Healthy
1.2616357539726164,Healthy
1.4095965636262329,Healthy
1.349344999397177,Healthy
1.235765305135262,Healthy
1.7358954262067658,Healthy
1.6267059188586241,Healthy
1.3045015621085208,Healthy
1.5432334478822276,Healthy
1.483069786858174,Healthy
1.644163667961898,Healthy
1.356804226506423,Healthy
1.0071219132706155,Healthy
2.405319427911092,Healthy
1.875286516997407,Healthy
1.9629013165375226,Healthy
1.1221760246868835,Healthy
1.5350129725876545,Healthy
1.3105533022798275,Healthy
1.6400571468439407,Healthy
1.5486895282516304,Healthy
1.3974174879606873,Healthy
1.4248091584879607,Healthy
1.4632211089018567,Healthy
1.741904841916352,Healthy
1.5266230084725536,Healthy
2.086812292476283,Healthy
0.8819937911814391,Healthy
1.9719066777321903,Healthy
1.4945246192163433,Healthy
1.410910317208608,Healthy
1.5445938193943534,Healthy
1.1934853951764608,Healthy
1.6803445134547497,Healthy
1.5376269591206193,Healthy
1.6543030277650044,Healthy
1.5866694899725042,Healthy
1.3626065146690833,Healthy
1.3961150200490609,Healthy
1.193932235503204,Healthy
1.6039381210189518,Healthy
1.5617885701437257,Healthy
2.1186701765294553,Healthy
1.9407877365688668,Healthy
1.2194383463212926,Healthy
1.3391479725023405,Healthy
1.7855685129989889,Healthy
1.3372583325175407,Healthy
1.9742523171013084,Healthy
1.603972203691919,Healthy
1.1788500869673262,Healthy
1.18781034759417,Healthy
1.4566061122593137,Healthy
1.3189285094513212,Healthy
1.8121273016126398,Healthy
2.093403220192385,Healthy
1.5577882512717622,Healthy
1.0813664373801053,Healthy
1.2955632998971873,Healthy
1.2572902102850827,Healthy
1.5792856960287387,Healthy
1.4606041649750343,Healthy
3.022439711214686,Healthy
1.360414855339913,Healthy
1.51031877381806,Healthy
1.5453507886086748,Healthy
1.3214774125233264,Healthy
1.2308177892061278,Healthy
1.9019850454165386,Healthy
1.0213931716641762,Healthy
1.188237137115697,Healthy
1.6856212344518844,Healthy
1.5990437505630901,Healthy
1.4368001544076738,Healthy
1.150805368385911,Healthy
1.5501883214252026,Healthy
1.500234189258671,Healthy
1.4978419997410788,Healthy
1.3568472978235986,Healthy
1.3593651824201125,Healthy
1.4569862130335678,Healthy
2.0007233110779623,Healthy
1.248049344020478,Healthy
1.22928359429901,Healthy
1.6267866467345051,Healthy
1.5110035123603047,Healthy
1.6193276404342163,Healthy
1.4382710830926828,Healthy
1.3700285668735726,Healthy
1.3964969181795024,Healthy
1.7474900464878529,Healthy
1.476573085194406,Healthy
1.5073166233253514,Healthy
1.3814902344122653,Healthy
1.010081503266917,Healthy
1.6126526600875455,Healthy
1.085745303170168,Healthy
1.3340491251539128,Healthy
1.1014379664196001,Healthy
1.703679626028228,Healthy
1.1573249582006602,Healthy
1.4586340685811197,Healthy
1.2987145217643083,Healthy
1.3202663040263891,Healthy
1.3375368853908332,Healthy
1.4701935127042616,Healthy
1.445286807907997,Healthy
1.9879280664151204,Healthy
1.4317633386868824,Healthy
1.3072890639091466,Healthy
1.5081142570873551,Healthy
1.3623325127559227,Healthy
1.0887572549176137,Healthy
1.8807317545064164,Healthy
1.2197929437109754,Healthy
1.8090370125584212,Healthy
1.2750646531079106,Healthy
1.686918915416302,Healthy
1.2648863576377618,Healthy
1.595225223222072,Healthy
1.390818471088287,Healthy
1.383363999347467,Healthy
1.0989487792984007,Healthy
1.58791841508905,Healthy
2.310597137233921,Healthy
1.2163923834733559,Healthy
1.2361997009260515,Healthy
1.4326540693632346,Healthy
2.5940457511916457,Healthy
1.106952485503988,Healthy
1.879028683679494,Healthy
1.3332229059290979,Healthy
1.5165084539407025,Healthy
1.2750452830038412,Healthy
2.5608169774840004,Healthy
1.6547486489539904,Healthy
1.781349775129687,Healthy
1.8932615470209917,Healthy
1.356090484315849,Healthy
1.940302410712618,Healthy
1.3675553059859735,Healthy
1.1438642309221558,Healthy
1.4459494711727228,Healthy
1.3052324648552553,Healthy
1.1008811623253463,Healthy
1.1706423627439222,Healthy
1.4364950418840803,Healthy
1.6361497058833763,Healthy
1.1530874480079005,Healthy
1.5094646509905094,Healthy
1.453953372476697,Healthy
1.2131820425297204,Healthy
1.2518097045092915,Healthy
1.6154818614091582,Healthy
2.1885890179291927,Healthy
1.485962931239289,Healthy
1.2640572613750412,Healthy
1.5388119595785912,Healthy
1.3511323069222936,Healthy
1.798527378007308,Healthy
1.5615632972836073,Healthy
1.570899944692255,Healthy
1.7290873068623378,Healthy
1.4680660521434894,Healthy
1.5600717035342553,Healthy
1.8782407951415165,Healthy
1.067367449001711,Healthy
1.0614620937989243,Healthy
1.5402367901667067,Healthy
1.1649134014959188,Healthy
1.1569771624143594,Healthy
1.374448467252181,Healthy
1.6613043700601666,Healthy
1.1234003388677753,Healthy
1.6362917964216024,Healthy
1.5833787504019523,Healthy
1.5231771839635713,Healthy
1.538127392285281,Healthy
1.24739011778968,Healthy
1.3332499484242712,Healthy
1.9468516566419682,Healthy
1.7904414691060717,Healthy
1.5534714911281784,Healthy
1.7637120064288043,Healthy
1.1508461284413893,Healthy
1.9457111853896296,Healthy
1.1209230828851706,Healthy
1.0965663796082559,Healthy
1.4882905937937692,Healthy
2.5190452559086336,Healthy
1.2613093306719207,Healthy
1.337190109966634,Healthy
1.3597724637357282,Healthy
1.2159587771969642,Healthy
1.7305775786195616,Healthy
1.2998719412733406,Healthy
1.1183530440269567,Healthy
1.7640355320714245,Healthy
1.206658343553247,Healthy
