Score,Group
1.707014704499134,Healthy
1.3653940186248323,Healthy
1.5845924439305465,Healthy
1.78167985817749,Healthy
1.4797895662301486,Healthy
1.3905085703076014,Healthy
1.3884029005683796,Healthy
1.598920136881514,Healthy
1.2461536977695487,Healthy
1.3701893601772421,Healthy
1.6736305111500691,Healthy
2.093781135636348,Healthy
1.193530308943257,Healthy
1.9332777611675094,Healthy
1.7888385038742791,Healthy
1.7217809168577545,Healthy
1.2459459450943446,Healthy
1.2342004246713536,Healthy
1.3841024660136847,Healthy
1.182344352520508,Healthy
1.1783412971919065,Healthy
1.5360995345443584,Healthy
1.1877775036516511,Healthy
1.703051602564079,Healthy
1.696747376707874,Healthy
1.4608452863687937,Healthy
1.12039210100138,Healthy
1.46410379522593,Healthy
1.3105496026494277,Healthy
1.7724697035432486,Healthy
1.890945674395619,Healthy
1.609494014195336,Healthy
1.5737521078627215,Healthy
1.3468786606662566,Healthy
1.260393654816696,Healthy
1.560004673464233,Healthy
1.1975453527647841,Healthy
1.3149093782649726,Healthy
1.34011449510998,Healthy
1.4676954291496742,Healthy
1.1743080431721222,Healthy
1.7217921333789143,Healthy
1.3141190815232022,Healthy
1.492926494948419,Healthy
1.430616404960932,Healthy
1.4754553452193253,Healthy
1.6852997229050508,Healthy
1.326606724716535,Healthy
1.4017991061199393,Healthy
1.3106377683958264,Healthy
1.3411083805933186,Healthy
1.5378934928542853,Healthy
1.0678239524821465,Healthy
1.6430584803468855,Healthy
1.2542978468789705,Healthy
1.6199915390252186,Healthy
1.264519981131594,Healthy
1.488373133285413,Healthy
1.8808335551446582,Healthy
1.7455766657055778,Healthy
1.424439182348345,Healthy
1.6765337832100757,Healthy
1.780901489210536,Healthy
1.5636300669516092,Healthy
1.2571564706492049,Healthy
1.5041865114723514,Healthy
1.6682710791597293,Healthy
1.4636227622703721,Healthy
1.3601957597259557,Healthy
1.918084292422678,Healthy
1.9979811061257318,Healthy
1.463281189508621,Healthy
1.1316671989189453,Healthy
1.6409742887064136,Healthy
1.1645349940814675,Healthy
1.7513061092238182,Healthy
1.2841041172387246,Healthy
1.6564157321705784,Healthy
1.4183272615229223,Healthy
1.4898935479117472,Healthy
1.3655854701736583,Healthy
1.3292862535287273,Healthy
1.599256698948346,Healthy
1.6192654092767749,Healthy
1.1951821028554919,Healthy
1.6566830346727186,Healthy
1.3485312988266307,Healthy
1.6262047987934731,Healthy
1.7986710849684113,Healthy
1.5082877389287386,Healthy
1.4832910547250648,Healthy
1.4626167203928626,Healthy
1.5290413750420528,Healthy
1.725496947936581,Healthy
1.4283607529264066,Healthy
1.6607934620358284,Healthy
1.1602092949531537,Healthy
1.4043842400978235,Healthy
1.5432617364256664,Healthy
1.8062356309844665,Healthy
1.4721786108530908,Healthy
1.927895182518519,Healthy
1.1097409045985969,Healthy
1.1468470852091859,Healthy
1.5603264951183147,Healthy
1.2990645958024156,Healthy
1.2805189780545594,Healthy
1.3356239661780738,Healthy
1.6601276221532426,Healthy
1.4209655172338413,Healthy
1.8705949931787966,Healthy
1.4862790320004007,Healthy
1.352983552833742,Healthy
1.5192169810860796,Healthy
1.396041399873778,Healthy
1.2798877800514668,Healthy
1.463361711060733,Healthy
1.375037622091368,Healthy
1.3224531839277778,Healthy
1.7002868760836032,Healthy
1.452126949785728,Healthy
1.9344940814868963,Healthy
1.2724331167045337,Healthy
1.818865186145343,Healthy
1.5009158009890116,Healthy
1.053130706250307,Healthy
1.4508762286882135,Healthy
1.6295897378110868,Healthy
1.3917245494126662,Healthy
1.499764506604771,Healthy
1.1837092827757858,Healthy
1.425877034466745,Healthy
1.2287508850098718,Healthy
1.7418941879368433,Healthy
1.272877670336037,Healthy
1.0637775728986216,Healthy
1.6783758161315252,Healthy
1.513374088874609,Healthy
1.5238710555781279,Healthy
1.1327264107468753,Healthy
1.749555834569349,Healthy
1.54410499523748,Healthy
1.9301107969302438,Healthy
1.516344647458087,Healthy
1.966324547036651,Healthy
1.194359581455626,Healthy
1.5083905121538836,Healthy
1.3688106832995894,Healthy
1.4829945267079216,Healthy
1.2025890504043377,Healthy
1.4193951590142535,Healthy
1.6092385317590736,Healthy
1.4057318883113878,Healthy
1.8295612505304457,Healthy
1.506002383910126,Healthy
1.6653825614718796,Healthy
1.7808026037893723,Healthy
1.5286288084860435,Healthy
1.4189445923828856,Healthy
1.1536389070838304,Healthy
1.3664680630577877,Healthy
1.2970827590041507,Healthy
1.5767241141443498,Healthy
1.9978886953903077,Healthy
1.50505363950097,Healthy
1.4767157540038385,Healthy
1.7637667557977363,Healthy
1.4056017499916407,Healthy
1.5567039367636855,Healthy
1.1860861924614965,Healthy
1.7114977191036878,Healthy
1.2804280688680505,Healthy
1.5889678985590243,Healthy
1.6539341766382925,Healthy
1.121982859258326,Healthy
1.590469626656367,Healthy
1.3661042920993611,Healthy
1.494424893328673,Healthy
1.3396157159219044,Healthy
2.3168977749368778,Healthy
1.5249853348066194,Healthy
1.431305101803064,Healthy
1.279768320056719,Healthy
1.7140970562430822,Healthy
1.4265108846481722,Healthy
1.4978631781849552,Healthy
1.170314307556744,Healthy
1.423917643205066,Healthy
1.2331802685130984,Healthy
1.8980506559066113,Healthy
1.4032781135774364,Healthy
1.1632814292889517,Healthy
1.3094753997507618,Healthy
1.9381938557807146,Healthy
1.3728594404634034,Healthy
1.8820375200883825,Healthy
1.7786992987146515,Healthy
1.4624826904489938,Healthy
1.186340766291172,Healthy
1.3060138476148109,Healthy
1.5097428775461852,Healthy
1.375678655407957,Healthy
1.6557272961048441,Healthy
1.5948984547273817,Healthy
1.6575535779638355,Healthy
1.3788865243977844,Healthy
1.48395569378378,Healthy
1.140451025458765,Healthy
1.2378605499451785,Healthy
1.4565879852299508,Healthy
1.4113580511294757,Healthy
1.3034630855748572,Healthy
1.5840744340408828,Healthy
1.398207487796006,Healthy
1.6468475871745945,Healthy
1.5959741513166235,Healthy
1.1817319598527496,Healthy
1.9512206698495038,Healthy
1.2611921917219011,Healthy
1.7879844879100575,Healthy
1.4103593390660996,Healthy
1.5602111438732762,Healthy
1.2059975633453468,Healthy
2.125284021313476,Healthy
1.3996596761712086,Healthy
1.9369876960077352,Healthy
1.590967910837674,Healthy
1.4068353414558976,Healthy
1.620958187324199,Healthy
1.5806246421769101,Healthy
1.3913273538279647,Healthy
1.3728861718594039,Healthy
1.551260272111606,Healthy
2.085874406745008,Healthy
1.588982940867061,Healthy
1.8108034171514207,Healthy
1.855880928428728,Healthy
1.4700677635722086,Healthy
1.4803840405573225,Healthy
1.419497594648549,Healthy
1.3903636186929373,Healthy
1.526347814141036,Healthy
1.6804019852598944,Healthy
1.4598530984356128,Healthy
1.2308831418269606,Healthy
1.23783715610951,Healthy
1.469949165043749,Healthy
1.245382000443591,Healthy
1.2554186927887008,Healthy
1.5528501164746265,Healthy
1.4002910110335751,Healthy
1.529089080421985,Healthy
1.5753098934908536,Healthy
1.6491644741739653,Healthy
1.2691679730592602,Healthy
1.2481675143869597,Healthy
1.5495492447615578,Healthy
1.4146548530110343,Healthy
1.680751519253023,Healthy
1.7515398014632297,Healthy
1.3760027216882653,Healthy
1.4458821635939276,Healthy
1.3629752542987494,Healthy
1.9065745146605493,Healthy
1.5275324860714234,Healthy
1.5520329316086683,Healthy
1.5095773832971493,Healthy
1.2944814180881046,Healthy
1.6178224824177858,Healthy
1.241097938128332,Healthy
1.5913855444927363,Healthy
1.524209605408489,Healthy
1.5414705495409151,Healthy
1.2344093745166238,Healthy
1.2332701735823077,Healthy
1.2383040804899772,Healthy
1.391175146526687,Healthy
1.6131663368764053,Healthy
1.4444976373036487,Healthy
1.4006624279896216,Healthy
2.3148442325828174,Healthy
1.7710504252100183,Healthy
1.312464037875357,Healthy
1.7327314110738248,Healthy
1.9203531817092518,Healthy
1.3007810135850073,Healthy
1.4717167215098583,Healthy
1.1705437408120847,Healthy
1.537722532364073,Healthy
1.506555630495804,Healthy
1.4051357470784493,Healthy
1.5618560633805425,Healthy
1.8128526772560583,Healthy
1.3717935036851012,Healthy
1.3118246688240986,Healthy
1.4899099164903722,Healthy
1.459418473071444,Healthy
1.6291651720105864,Healthy
1.4190491427025396,Healthy
2.013674757591638,Healthy
1.060889403755642,Healthy
1.352973421466979,Healthy
1.2954242094725117,Healthy
1.7087421305596115,Healthy
1.567430172785215,Healthy
1.854561288307165,Healthy
1.813126571631872,Healthy
1.5428050836723075,Healthy
1.494576438763011,Healthy
1.180740781922963,Healthy
1.418719445936737,Healthy
1.4819281139415799,Healthy
1.7655107604976354,Healthy
1.5542833928245248,Healthy
1.124666589330937,Healthy
1.415267359448015,Healthy
1.5430431787475791,Healthy
1.382233703341804,Healthy
1.2140374788057815,Healthy
2.079852678001535,Healthy
1.4224596250130408,Healthy
1.3812108430768804,Healthy
1.3675515822647792,Healthy
1.8252479517771736,Healthy
2.16930517287891,Healthy
1.59223863374752,Healthy
1.2662392495447046,Healthy
1.3815096601281862,Healthy
1.5846566450804451,Healthy
1.4863635054603983,Healthy
1.2137450506600378,Healthy
1.4471933128092354,Healthy
1.3697156845809433,Healthy
1.3662263280708582,Healthy
1.6472212676420275,Healthy
1.3158272552693282,Healthy
1.3508463556517791,Healthy
1.3532118194031377,Healthy
1.2180375207659364,Healthy
1.7338473831575325,Healthy
1.415225308034336,Healthy
1.383759724901537,Healthy
1.056767776596674,Healthy
2.7234095573527135,Healthy
1.7161657776814152,Healthy
1.3252271961680493,Healthy
1.176637602041552,Healthy
1.6961047631031072,Healthy
1.7155327477964124,Healthy
1.59672455361413,Healthy
1.4564070592769962,Healthy
1.1118120253519619,Healthy
2.168058404239721,Healthy
1.9853082365003831,Healthy
1.625345873809999,Healthy
1.4761378130577612,Healthy
1.2534021773854187,Healthy
1.2768845484135076,Healthy
1.593157509201475,Healthy
1.8360499145142992,Healthy
1.9464280954583195,Healthy
1.2214757437731512,Healthy
1.568001733786201,Healthy
1.9699423026678278,Healthy
1.4105043164957813,Healthy
1.418878298593905,Healthy
1.3006557386201325,Healthy
2.096081220977347,Healthy
1.4227412326387638,Healthy
1.2514573077656512,Healthy
1.3122924108144625,Healthy
1.794342970792003,Healthy
1.6885896956950717,Healthy
1.34230557640203,Healthy
1.3540970704997557,Healthy
1.4457241108695438,Healthy
1.4307433237206277,Healthy
1.3977581586358727,Healthy
1.7832352561281137,Healthy
1.2836094219581493,Healthy
1.3100869149213956,Healthy
1.5397626536125941,Healthy
2.1213720532443086,Healthy
1.5448881662684524,Healthy
1.5583453070388824,Healthy
1.8628912298487283,Healthy
1.3339390996146907,Healthy
1.2226065561507542,Healthy
1.5798141345413974,Healthy
1.4412159403467668,Healthy
1.3501880607003753,Healthy
1.750831915216629,Healthy
1.4863593272739446,Healthy
1.3350659403606564,Healthy
1.5259163211332234,Healthy
1.29343403545494,Healthy
1.1100987390416683,Healthy
1.2522644494444026,Healthy
1.518686634815661,Healthy
1.319726022913098,Healthy
1.3542632316898742,Healthy
1.6079751652948666,Healthy
1.4416216028602775,Healthy
1.3440441073450833,Healthy
1.1590035028260228,Healthy
1.7440132590621007,Healthy
1.479580242782803,Healthy
1.681841789633485,Healthy
1.806924556943698,Healthy
1.325703785136386,Healthy
1.7103548724198037,Healthy
1.2229964848347388,Healthy
1.203564547944404,Healthy
1.3075178044053266,Healthy
1.4188760456680056,Healthy
1.6035084335442829,Healthy
1.333354434819105,Healthy
1.3634868010932994,Healthy
1.7300146305147606,Healthy
1.942278647396532,Healthy
1.6438576533966094,Healthy
1.6238708046226338,Healthy
1.642844357901035,Healthy
1.2106807233050634,Healthy
1.2892150924493564,Healthy
1.3095955212819728,Healthy
1.581689557579784,Healthy
1.1847998762142806,Healthy
1.7067203267543745,Healthy
1.615601937189365,Healthy
2.149626484043259,Healthy
1.1792592709685228,Healthy
1.2251709878984003,Healthy
1.5627598034889736,Healthy
1.6434199289685456,Healthy
1.4949561887031229,Healthy
1.415056235957177,Healthy
1.897530729973907,Healthy
1.4343309794125232,Healthy
1.4218822831579547,Healthy
1.4053274865281649,Healthy
1.5325774648617165,Healthy
1.4981437191423124,Healthy
1.5027157075708495,Healthy
1.4292952847440912,Healthy
1.5377374375877035,Healthy
1.20798017256212,Healthy
1.5762947528091993,Healthy
1.6436406817749727,Healthy
1.4195497382179496,Healthy
1.4912703873234276,Healthy
1.6502841609635726,Healthy
1.3502235941393814,Healthy
2.3850227567588456,Healthy
1.2145574180035175,Healthy
1.1515093740816194,Healthy
1.49186535569018,Healthy
