PROBLEM_KEY,accuracy,precision,recall,f1,auc,aupr,time_taken
ref_0_que_1,0.8493 ± 0.0016,0.8042 ± 0.0022,0.9517 ± 0.0013,0.8717 ± 0.0012,0.9507 ± 0.0004,0.9590 ± 0.0003,73.1058 ± 0.3739
ref_0_que_1-7,0.8168 ± 0.0008,0.8165 ± 0.0019,0.7930 ± 0.0041,0.8045 ± 0.0014,0.9009 ± 0.0006,0.9023 ± 0.0005,123.3499 ± 0.3304
ref_0_que_1hr,0.7736 ± 0.0016,0.6350 ± 0.0020,0.9462 ± 0.0028,0.7599 ± 0.0013,0.9107 ± 0.0022,0.8452 ± 0.0037,95.2139 ± 2.6187
ref_0_que_3,0.7289 ± 0.0060,0.6020 ± 0.0057,0.9717 ± 0.0014,0.7433 ± 0.0041,0.9282 ± 0.0007,0.8952 ± 0.0009,65.2916 ± 0.1835
ref_0_que_4hr,0.7786 ± 0.0030,0.7372 ± 0.0026,0.9972 ± 0.0004,0.8477 ± 0.0018,0.9478 ± 0.0011,0.9649 ± 0.0007,67.4883 ± 0.6640
ref_0_que_7,0.7597 ± 0.0025,0.6949 ± 0.0041,0.8298 ± 0.0095,0.7561 ± 0.0030,0.8476 ± 0.0017,0.8185 ± 0.0028,85.9327 ± 0.4717
