PROBLEM_KEY,seed,accuracy,precision,recall,f1,auc,aupr
ref_0_que_1hr,0,0.3790180148357471,0.37879858657243815,1.0,0.5494618144541261,0.5031267765776009,0.3801418439716312
ref_0_que_1hr,100,0.3790180148357471,0.37879858657243815,1.0,0.5494618144541261,0.5031267765776009,0.3801418439716312
ref_0_que_1hr,200,0.3790180148357471,0.37879858657243815,1.0,0.5494618144541261,0.5031267765776009,0.3801418439716312
ref_0_que_4hr,0,0.6186186186186187,0.6183320811419984,1.0,0.7641597028783659,0.5976994893854721,0.6684842926856737
ref_0_que_4hr,100,0.6186186186186187,0.6183320811419984,1.0,0.7641597028783659,0.5976994893854721,0.6684842926856737
ref_0_que_4hr,200,0.6186186186186187,0.6183320811419984,1.0,0.7641597028783659,0.5976994893854721,0.6684842926856737
ref_0_que_1,0,0.5419561731694281,0.5403009134873724,0.9985104270109235,0.7011854951185496,0.6432451140626725,0.6493750022596744
ref_0_que_1,100,0.5419561731694281,0.5403009134873724,0.9985104270109235,0.7011854951185496,0.6432451140626725,0.6493750022596744
ref_0_que_1,200,0.5419561731694281,0.5403009134873724,0.9985104270109235,0.7011854951185496,0.6432451140626725,0.6493750022596744
ref_0_que_3,0,0.40773569701853346,0.4053398058252427,1.0,0.5768566493955095,0.5395991800183417,0.423776608655954
ref_0_que_3,100,0.40773569701853346,0.4053398058252427,1.0,0.5768566493955095,0.5395991800183417,0.423776608655954
ref_0_que_3,200,0.40773569701853346,0.4053398058252427,1.0,0.5768566493955095,0.5395991800183417,0.423776608655954
ref_0_que_7,0,0.46243022756547875,0.45513937282229966,0.9990439770554493,0.6253740275284261,0.6928994245978817,0.5956620597625463
ref_0_que_7,100,0.46243022756547875,0.45513937282229966,0.9990439770554493,0.6253740275284261,0.6928994245978817,0.5956620597625463
ref_0_que_7,200,0.46243022756547875,0.45513937282229966,0.9990439770554493,0.6253740275284261,0.6928994245978817,0.5956620597625463
ref_0_que_1-7,0,0.4864488017429194,0.48072002117709345,0.998533724340176,0.6489963666686521,0.7358697397147547,0.6825055813244298
ref_0_que_1-7,100,0.4864488017429194,0.48072002117709345,0.998533724340176,0.6489963666686521,0.7358697397147547,0.6825055813244298
ref_0_que_1-7,200,0.4864488017429194,0.48072002117709345,0.998533724340176,0.6489963666686521,0.7358697397147547,0.6825055813244298
