PROBLEM_KEY,seed,accuracy,precision,recall,f1,auc,aupr
ref_0_que_1,0,0.4679315873864244,1.0,0.011420059582919563,0.022582228767795778,0.9366965960498731,0.9459847276548445
ref_0_que_1,100,0.46285408872260825,1.0,0.0019860973187686196,0.003964321110009911,0.8177885013240649,0.8725814651631952
ref_0_que_1,200,0.47006948156066275,1.0,0.015392254220456803,0.030317848410757946,0.9005445676560373,0.9258867910146275
ref_0_que_1,300,0.4722073757349011,1.0,0.019364448857994043,0.03799318071115441,0.8770404046673286,0.9127524149023047
ref_0_que_1,400,0.46178514163548906,0.0,0.0,0.0,0.8845303649913568,0.9123504479831205
ref_0_que_1,500,0.4668626402993052,1.0,0.009433962264150943,0.018691588785046728,0.6532781812037957,0.7459822118835986
ref_0_que_1,600,0.46873329770176375,1.0,0.012909632571996028,0.025490196078431372,0.6961331443782413,0.7728190770040664
ref_0_que_1,700,0.46178514163548906,0.0,0.0,0.0,0.9385467813270072,0.9380348004616712
ref_0_que_1,800,0.47006948156066275,1.0,0.015392254220456803,0.030317848410757946,0.8926878172238772,0.9217525195425765
ref_0_que_1,900,0.46178514163548906,0.0,0.0,0.0,0.9084590735223804,0.9148714394840172
ref_0_que_1,1000,0.47113842864778194,1.0,0.01737835153922542,0.03416300634455832,0.8581940306741696,0.9010035227086528
ref_0_que_1,1100,0.46285408872260825,1.0,0.0019860973187686196,0.003964321110009911,0.9081309307072714,0.9281328644635665
ref_0_que_1,1200,0.4633885622661678,1.0,0.0029791459781529296,0.005940594059405941,0.8334494188826365,0.8803444828582685
ref_0_que_1,1300,0.4679315873864244,1.0,0.011420059582919563,0.022582228767795778,0.7462720447607489,0.8144885011943491
ref_0_que_1,1400,0.47006948156066275,1.0,0.015392254220456803,0.030317848410757946,0.8514869294567655,0.8954752126628274
ref_0_que_1,1500,0.46178514163548906,0.0,0.0,0.0,0.7801499170160726,0.7249448967940676
ref_0_que_1,1600,0.46178514163548906,0.0,0.0,0.0,0.9220663687520688,0.9006097979109953
ref_0_que_1,1700,0.4623196151790486,1.0,0.0009930486593843098,0.001984126984126984,0.8029493775056089,0.8616500403955576
ref_0_que_1,1800,0.4740780331373597,1.0,0.022840119165839126,0.04466019417475728,0.8048461119386516,0.8668160084420007
ref_0_que_1,1900,0.46980224478888294,1.0,0.014895729890764648,0.029354207436399216,0.7335685789749531,0.8061336059433135
ref_0_que_1,2000,0.46178514163548906,0.0,0.0,0.0,0.9052434463385929,0.9166072960412628
ref_0_que_1,2100,0.4692677712453234,1.0,0.013902681231380337,0.02742409402546523,0.762785501489573,0.8353769837445686
ref_0_que_1,2200,0.46178514163548906,0.0,0.0,0.0,0.909925659273971,0.9218802455530479
ref_0_que_1,2300,0.4652592196686264,1.0,0.006454816285998014,0.012826837691169216,0.912914862168524,0.9333420388938046
ref_0_que_1,2400,0.46178514163548906,0.0,0.0,0.0,0.8733146044815918,0.9047067902440098
ref_0_que_3,0,0.5962933118452861,0.0,0.0,0.0,0.8382950315585046,0.687273065696525
ref_0_que_3,100,0.5962933118452861,0.0,0.0,0.0,0.8761396126665588,0.7802685959464778
ref_0_que_3,200,0.5962933118452861,0.0,0.0,0.0,0.8514430598262934,0.7758658199774148
ref_0_que_3,300,0.5962933118452861,0.0,0.0,0.0,0.8871716027404649,0.7734874245529894
ref_0_que_3,400,0.5962933118452861,0.0,0.0,0.0,0.8560527593461725,0.7135688494069106
ref_0_que_3,500,0.5962933118452861,0.0,0.0,0.0,0.6717942493391594,0.5098307616253975
ref_0_que_3,600,0.5962933118452861,0.0,0.0,0.0,0.8695312078545612,0.7473217284991871
ref_0_que_3,700,0.5962933118452861,0.0,0.0,0.0,0.8509764255273238,0.7059428406702696
ref_0_que_3,800,0.5962933118452861,0.0,0.0,0.0,0.878666990343637,0.7700184541088664
ref_0_que_3,900,0.5962933118452861,0.0,0.0,0.0,0.8530021039003075,0.7196052820850535
ref_0_que_3,1000,0.5962933118452861,0.0,0.0,0.0,0.8860495225764686,0.7741753673737666
ref_0_que_3,1100,0.5962933118452861,0.0,0.0,0.0,0.8815126503749258,0.7555719839609574
ref_0_que_3,1200,0.5962933118452861,0.0,0.0,0.0,0.8609874844904786,0.7136081956429183
ref_0_que_3,1300,0.5962933118452861,0.0,0.0,0.0,0.8373415331499163,0.6877109282539016
ref_0_que_3,1400,0.5962933118452861,0.0,0.0,0.0,0.8986108863354373,0.7917410821436549
ref_0_que_3,1500,0.5962933118452861,0.0,0.0,0.0,0.8735205265145385,0.742336555028706
ref_0_que_3,1600,0.5962933118452861,0.0,0.0,0.0,0.8807223391055726,0.7684342483968952
ref_0_que_3,1700,0.5962933118452861,0.0,0.0,0.0,0.6959122295948643,0.6321827998303204
ref_0_que_3,1800,0.5962933118452861,0.0,0.0,0.0,0.8699250148351945,0.7324052691371591
ref_0_que_3,1900,0.5962933118452861,0.0,0.0,0.0,0.9206290122457788,0.8395335823457605
ref_0_que_3,2000,0.5962933118452861,0.0,0.0,0.0,0.801502400604197,0.6283454629804333
ref_0_que_3,2100,0.5962933118452861,0.0,0.0,0.0,0.8710524896153639,0.7326778127734545
ref_0_que_3,2200,0.5962933118452861,0.0,0.0,0.0,0.8594297890705076,0.7166454826285142
ref_0_que_3,2300,0.5962933118452861,0.0,0.0,0.0,0.7780614446782111,0.6208683266181872
ref_0_que_3,2400,0.5962933118452861,0.0,0.0,0.0,0.8482521443599288,0.7280942756646236
ref_0_que_7,0,0.5508802060970374,0.0,0.0,0.0,0.3845186875287813,0.35817395286057996
